name,confed
Albania,UEFA
Andorra,UEFA
Armenia,UEFA
Austria,UEFA
Azerbaijan,UEFA
Belarus,UEFA
Belgium,UEFA
Bosnia and Herzegovina,UEFA
Bulgaria,UEFA
Croatia,UEFA
Cyprus,UEFA
Czech Republic,UEFA
Denmark,UEFA
England,UEFA
Estonia,UEFA
Faroe Islands,UEFA
Finland,UEFA
France,UEFA
Georgia,UEFA
Germany,UEFA
Gibraltar,UEFA
Greece,UEFA
Hungary,UEFA
Iceland,UEFA
Israel,UEFA
Italy,UEFA
Kazakhstan,UEFA
Kosovo,UEFA
Latvia,UEFA
Liechtenstein,UEFA
Lithuania,UEFA
Luxembourg,UEFA
Malta,UEFA
Moldova,UEFA
Montenegro,UEFA
Netherlands,UEFA
North Macedonia,UEFA
Northern Ireland,UEFA
Norway,UEFA
Poland,UEFA
Portugal,UEFA
Republic of Ireland,UEFA
Romania,UEFA
Russia,UEFA
San Marino,UEFA
Scotland,UEFA
Serbia,UEFA
Slovakia,UEFA
Slovenia,UEFA
Spain,UEFA
Sweden,UEFA
Switzerland,UEFA
Turkey,UEFA
Ukraine,UEFA
Wales,UEFA
Czechoslovakia,UEFA
Yugoslavia,UEFA
Serbia and Montenegro,UEFA
USSR,UEFA
Soviet Union,UEFA
German DR,UEFA
Saarland,UEFA
Bohemia,UEFA
Commonwealth of Independent States,UEFA
Argentina,CONMEBOL
Bolivia,CONMEBOL
Brazil,CONMEBOL
Chile,CONMEBOL
Colombia,CONMEBOL
Ecuador,CONMEBOL
Paraguay,CONMEBOL
Peru,CONMEBOL
Uruguay,CONMEBOL
Venezuela,CONMEBOL
Anguilla,CONCACAF
Antigua and Barbuda,CONCACAF
Aruba,CONCACAF
Bahamas,CONCACAF
Barbados,CONCACAF
Belize,CONCACAF
Bermuda,CONCACAF
Bonaire,CONCACAF
British Virgin Islands,CONCACAF
Canada,CONCACAF
Cayman Islands,CONCACAF
Costa Rica,CONCACAF
Cuba,CONCACAF
Curaçao,CONCACAF
Dominica,CONCACAF
Dominican Republic,CONCACAF
El Salvador,CONCACAF
French Guiana,CONCACAF
Grenada,CONCACAF
Guadeloupe,CONCACAF
Guatemala,CONCACAF
Guyana,CONCACAF
Haiti,CONCACAF
Honduras,CONCACAF
Jamaica,CONCACAF
Martinique,CONCACAF
Mexico,CONCACAF
Montserrat,CONCACAF
Nicaragua,CONCACAF
Panama,CONCACAF
Puerto Rico,CONCACAF
Saint Kitts and Nevis,CONCACAF
Saint Lucia,CONCACAF
Saint Martin,CONCACAF
Saint Vincent and the Grenadines,CONCACAF
Sint Maarten,CONCACAF
Suriname,CONCACAF
Trinidad and Tobago,CONCACAF
Turks and Caicos Islands,CONCACAF
United States,CONCACAF
United States Virgin Islands,CONCACAF
Netherlands Antilles,CONCACAF
Algeria,CAF
Angola,CAF
Benin,CAF
Botswana,CAF
Burkina Faso,CAF
Burundi,CAF
Cameroon,CAF
Cape Verde,CAF
Central African Republic,CAF
Chad,CAF
Comoros,CAF
Congo,CAF
DR Congo,CAF
Djibouti,CAF
Egypt,CAF
Equatorial Guinea,CAF
Eritrea,CAF
Eswatini,CAF
Ethiopia,CAF
Gabon,CAF
Gambia,CAF
Ghana,CAF
Guinea,CAF
Guinea-Bissau,CAF
Ivory Coast,CAF
Kenya,CAF
Lesotho,CAF
Liberia,CAF
Libya,CAF
Madagascar,CAF
Malawi,CAF
Mali,CAF
Mauritania,CAF
Mauritius,CAF
Morocco,CAF
Mozambique,CAF
Namibia,CAF
Niger,CAF
Nigeria,CAF
Rwanda,CAF
São Tomé and Príncipe,CAF
Senegal,CAF
Seychelles,CAF
Sierra Leone,CAF
Somalia,CAF
South Africa,CAF
South Sudan,CAF
Sudan,CAF
Tanzania,CAF
Togo,CAF
Tunisia,CAF
Uganda,CAF
Zambia,CAF
Zimbabwe,CAF
Zaire,CAF
Rhodesia,CAF
Zanzibar,CAF
Réunion,CAF
Mayotte,CAF
Upper Volta,CAF
Dahomey,CAF
Swaziland,CAF
Afghanistan,AFC
Australia,AFC
Bahrain,AFC
Bangladesh,AFC
Bhutan,AFC
Brunei,AFC
Cambodia,AFC
China,AFC
Guam,AFC
Hong Kong,AFC
India,AFC
Indonesia,AFC
Iran,AFC
Iraq,AFC
Japan,AFC
Jordan,AFC
Kuwait,AFC
Kyrgyzstan,AFC
Laos,AFC
Lebanon,AFC
Macau,AFC
Malaysia,AFC
Maldives,AFC
Mongolia,AFC
Myanmar,AFC
Nepal,AFC
North Korea,AFC
Northern Mariana Islands,AFC
Oman,AFC
Pakistan,AFC
Palestine,AFC
Philippines,AFC
Qatar,AFC
Saudi Arabia,AFC
Singapore,AFC
South Korea,AFC
Sri Lanka,AFC
Syria,AFC
Taiwan,AFC
Tajikistan,AFC
Thailand,AFC
Timor-Leste,AFC
Turkmenistan,AFC
United Arab Emirates,AFC
Uzbekistan,AFC
Vietnam,AFC
Yemen,AFC
Burma,AFC
Ceylon,AFC
Malaya,AFC
Vietnam Republic,AFC
North Vietnam,AFC
Yemen DPR,AFC
Dutch East Indies,AFC
American Samoa,OFC
Cook Islands,OFC
Fiji,OFC
Kiribati,OFC
Marshall Islands,OFC
Micronesia,OFC
New Caledonia,OFC
New Zealand,OFC
Palau,OFC
Papua New Guinea,OFC
Samoa,OFC
Solomon Islands,OFC
Tahiti,OFC
Tonga,OFC
Tuvalu,OFC
Vanuatu,OFC
Western Samoa,OFC
New Hebrides,OFC
