key,tournament,year,first_match,knockout_start,expected_matches,expected_knockout
wc2006,FIFA World Cup,2006,2006-06-09,2006-06-24,64,16
wc2010,FIFA World Cup,2010,2010-06-11,2010-06-26,64,16
wc2014,FIFA World Cup,2014,2014-06-12,2014-06-28,64,16
wc2018,FIFA World Cup,2018,2018-06-14,2018-06-30,64,16
wc2022,FIFA World Cup,2022,2022-11-20,2022-12-03,64,16
euro2008,UEFA Euro,2008,2008-06-07,2008-06-19,31,7
euro2012,UEFA Euro,2012,2012-06-08,2012-06-21,31,7
euro2016,UEFA Euro,2016,2016-06-10,2016-06-25,51,15
euro2020,UEFA Euro,2021,2021-06-11,2021-06-26,51,15
euro2024,UEFA Euro,2024,2024-06-14,2024-06-29,51,15
copa2015,Copa América,2015,2015-06-11,2015-06-24,26,8
copa2016,Copa América,2016,2016-06-03,2016-06-16,32,8
copa2019,Copa América,2019,2019-06-14,2019-06-27,26,8
copa2021,Copa América,2021,2021-06-13,2021-07-02,28,8
copa2024,Copa América,2024,2024-06-20,2024-07-04,32,8
afcon2023,African Cup of Nations,2023,2024-01-13,2024-01-27,52,16
